TITLE;PRODUCTION_YEAR;SERIE_TITLE;SERIE_PROD_YEAR;SEASON_NR;EPISODE_NR;SERIES_YEARS;KIND;TITLELINK;PRODUCTIONYEARLINK;LINK;KEYWORD;NAME;GENDER;PERSON_INFO;INFO_CONTEXT;ROLE;ROLE_NAME;NOTE;NR_ORDER
El túnel;1988;;;;;;movie;;;;action;Algueró, Augusto Jr;m;16 January 2011;death date;composer;;;
El túnel;1988;;;;;;movie;;;;action;Algueró, Augusto Jr;m;23 February 1934;birth date;composer;;;
El túnel;1988;;;;;;movie;;;;action;Algueró, Augusto Jr;m;Barcelona, Barcelona, Catalonia, Spain;birth notes;composer;;;
El túnel;1988;;;;;;movie;;;;action;Algueró, Augusto Jr;m;Torremolinos, Málaga, Andalucía, Spain (heart attack);death notes;composer;;;
Réquiem por un empleado;1978;;;;;;movie;;;;;Algueró, Augusto Jr;m;16 January 2011;death date;composer;;;
Réquiem por un empleado;1978;;;;;;movie;;;;;Algueró, Augusto Jr;m;23 February 1934;birth date;composer;;;
Réquiem por un empleado;1978;;;;;;movie;;;;;Algueró, Augusto Jr;m;Barcelona, Barcelona, Catalonia, Spain;birth notes;composer;;;
Réquiem por un empleado;1978;;;;;;movie;;;;;Algueró, Augusto Jr;m;Torremolinos, Málaga, Andalucía, Spain (heart attack);death notes;composer;;;
Sumarísimo;1978;;;;;1978-1979;tv series;;;;;Algueró, Augusto Sr;m;1906;birth date;composer;;;
Sumarísimo;1978;;;;;1978-1979;tv series;;;;;Algueró, Augusto Sr;m;1992;death date;composer;;;
Cerca de las estrellas;1989;;;;;1989-????;tv series;;;;;Álvarez Cervantes, Jesús;m;22 February 1958;birth date;actor;Himself;;
Cerca de las estrellas;1989;;;;;1989-????;tv series;;;;;Álvarez Cervantes, Jesús;m;Madrid, Madrid, Spain;birth notes;actor;Himself;;
Todo motor;1989;;;;;1989-????;tv series;;;;;Álvarez Cervantes, Jesús;m;22 February 1958;birth date;actor;Himself - Host;;10
Todo motor;1989;;;;;1989-????;tv series;;;;;Álvarez Cervantes, Jesús;m;Madrid, Madrid, Spain;birth notes;actor;Himself - Host;;10
Insólito Lanzarote;1976;;;;;;movie;;;;adult;Álvarez García, Jesús;m;1926;birth date;actor;Locutor;;
Insólito Lanzarote;1976;;;;;;movie;;;;adult;Álvarez García, Jesús;m;17 March 1970;death date;actor;Locutor;;
Insólito Lanzarote;1976;;;;;;movie;;;;adult;Álvarez García, Jesús;m;Madrid, Madrid, Spain;birth notes;actor;Locutor;;
Las aventuras de Enrique y Ana;1981;;;;;;movie;;;;;Álvarez Jimenez, Jesús;m;;;actor;Punkito;;200
Canciones de nuestra vida;1975;;;;;;movie;;;;;Amaya, Carmen;f;19 November 1963;death date;actress;From Los Tarantos;(1962);
Canciones de nuestra vida;1975;;;;;;movie;;;;;Amaya, Carmen;f;2 November 1913;birth date;actress;From Los Tarantos;(1962);
Canciones de nuestra vida;1975;;;;;;movie;;;;;Amaya, Carmen;f;Barcelona, Catalonia, Spain;birth notes;actress;From Los Tarantos;(1962);
Canciones de nuestra vida;1975;;;;;;movie;;;;;Amaya, Carmen;f;Begur, Girona, Catalonia, Spain;death notes;actress;From Los Tarantos;(1962);
Flamenco (de Carlos Saura);1995;;;;;;movie;;;;musical;Amaya, Carmen;f;19 November 1963;death date;actress;Dancer: Grupo Las Peligro;;
Flamenco (de Carlos Saura);1995;;;;;;movie;;;;musical;Amaya, Carmen;f;2 November 1913;birth date;actress;Dancer: Grupo Las Peligro;;
Flamenco (de Carlos Saura);1995;;;;;;movie;;;;musical;Amaya, Carmen;f;Barcelona, Catalonia, Spain;birth notes;actress;Dancer: Grupo Las Peligro;;
Flamenco (de Carlos Saura);1995;;;;;;movie;;;;musical;Amaya, Carmen;f;Begur, Girona, Catalonia, Spain;death notes;actress;Dancer: Grupo Las Peligro;;
Esa maldita costilla;1999;;;;;;movie;;;;;Arias 1, Ernesto;m;Lugones, Asturias, Spain;birth notes;actor;Hombre Colegio;;
Noctámbulos;1995;;;;;;movie;;;;;Arias, Ernesto;m;Oviedo, Asturias, Spain;birth notes;actor;Vigilante;(Security Officer);30
Das Sahara-Projekt;1993;;;;;1993-????;tv series;;;;action;Berger, Helmut;m;27 September 1949;birth date;actor;Altenburg;;
Das Sahara-Projekt;1993;;;;;1993-????;tv series;;;;science-fiction;Berger, Helmut;m;27 September 1949;birth date;actor;Altenburg;;
Das Sahara-Projekt;1993;;;;;1993-????;tv series;;;;terror;Berger, Helmut;m;27 September 1949;birth date;actor;Altenburg;;
Das Sahara-Projekt;1993;;;;;1993-????;tv series;;;;action;Berger, Helmut;m;Graz, Austria;birth notes;actor;Altenburg;;
Das Sahara-Projekt;1993;;;;;1993-????;tv series;;;;science-fiction;Berger, Helmut;m;Graz, Austria;birth notes;actor;Altenburg;;
Das Sahara-Projekt;1993;;;;;1993-????;tv series;;;;terror;Berger, Helmut;m;Graz, Austria;birth notes;actor;Altenburg;;
El clan de los inmorales;1975;;;;;;movie;;;;thriller;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Clyde Hart;;10
El clan de los inmorales;1975;;;;;;movie;;;;thriller;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Clyde Hart;;10
Faceless;1987;;;;;;movie;;;;action;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Dr. Frank Flamand;;10
Faceless;1987;;;;;;movie;;;;adult;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Dr. Frank Flamand;;10
Faceless;1987;;;;;;movie;;;;thriller;Berger, Helmut Steinberger;m;29 May 1944;birth date;actor;Dr. Frank Flamand;;10
Faceless;1987;;;;;;movie;;;;action;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Dr. Frank Flamand;;10
Faceless;1987;;;;;;movie;;;;adult;Berger, Helmut Steinberger;m;Bad Ischl, Upper Austria, Austria;birth notes;actor;Dr. Frank Flamand;;10
